frame,frame_total,update,physics,collision,enemy_manager,ai,render,render_tiles,render_particles,render_hazards,render_pickups,render_portals,render_enemies,render_npcs,render_player,render_companions,render_projectiles,render_hud,present,fps_instantaneous
0,44.7168,28.2388,0.0545,0.3427,0.0113,0.0,16.0344,5.2998,0.005,0.0033,0.5483,0.1088,0.0055,0.0423,0.0389,0.0417,0.0015,6.4237,0.001,22.36
1,12.6037,4.8091,0.0075,0.0614,0.0094,0.0,7.5165,5.5579,0.0034,0.0028,0.5085,0.0958,0.0039,0.0393,0.0348,0.0449,0.0011,1.069,0.0005,79.34
2,10.3471,2.8348,0.0044,0.3113,0.0095,0.0,7.2305,5.2534,0.0031,0.0022,0.4947,0.0837,0.0035,0.0358,0.035,0.0456,0.0009,1.1171,0.0006,96.65
3,10.736,3.3375,0.0036,0.867,0.0083,0.0,7.1195,5.2466,0.0031,0.0021,0.4962,0.0925,0.0037,0.0379,0.0341,0.0403,0.0011,1.0173,0.0005,93.14
4,11.1107,3.3365,0.0034,0.8442,0.0087,0.0,7.4918,5.3242,0.0041,0.0026,0.5042,0.0886,0.0036,0.0396,0.0401,0.0399,0.001,1.2849,0.0004,90.0
5,11.5106,3.8945,0.0047,0.8515,0.0087,0.0,7.2152,5.2378,0.003,0.0022,0.4975,0.0842,0.0032,0.0353,0.0325,0.0443,0.0008,1.1158,0.0004,86.88
6,10.8394,3.3012,0.0034,0.8558,0.0087,0.0,7.2587,5.3313,0.0035,0.0026,0.4914,0.0842,0.0035,0.0362,0.035,0.0382,0.0007,1.0817,0.0004,92.26
7,10.7655,3.3126,0.0042,0.8457,0.0136,0.0,7.1428,5.2218,0.0042,0.0026,0.4785,0.083,0.0032,0.0373,0.035,0.0373,0.0009,1.0909,0.0006,92.89
8,11.0439,3.2414,0.0034,0.8302,0.0066,0.0,7.5664,5.4663,0.0017,0.002,0.5291,0.2585,0.0034,0.0355,0.0314,0.0446,0.0009,1.0464,0.0004,90.55
9,10.6884,3.544,0.0037,1.0306,0.007,0.0,6.8715,5.0379,0.0017,0.0018,0.4819,0.0831,0.0033,0.031,0.0297,0.037,0.0007,1.0207,0.0004,93.56
10,10.802,3.3986,0.0048,0.887,0.0073,0.0,7.1315,5.2588,0.0022,0.0022,0.4858,0.0846,0.0035,0.0319,0.0313,0.0376,0.0011,1.0461,0.0005,92.58
11,11.6525,3.3754,0.0046,0.8618,0.0083,0.0,7.938,5.6276,0.0026,0.0025,0.7724,0.091,0.004,0.0351,0.0329,0.0455,0.001,1.0858,0.0004,85.82
12,10.8764,3.0888,0.0048,0.275,0.0067,0.0,7.4604,5.4069,0.0254,0.0025,0.4847,0.0889,0.0038,0.0345,0.0409,0.0408,0.0008,1.1843,0.0005,91.94
13,10.6198,3.224,0.0033,0.2998,0.0068,0.0,7.1116,5.1921,0.0211,0.0025,0.4946,0.0855,0.0029,0.0322,0.0296,0.0383,0.0011,1.0616,0.0005,94.16
14,11.0651,3.3267,0.0029,0.2922,0.0093,0.0,7.4201,5.3041,0.0201,0.0022,0.4885,0.0831,0.0035,0.0323,0.0299,0.0446,0.0009,1.2547,0.0004,90.37
15,10.4699,3.1265,0.0022,0.3049,0.0066,0.0,7.0889,5.1821,0.0164,0.0021,0.4725,0.081,0.0028,0.0564,0.0321,0.0486,0.0008,1.0507,0.0004,95.51
16,10.5877,3.2148,0.0032,0.2966,0.0066,0.0,7.1157,5.205,0.0194,0.0021,0.4828,0.092,0.0029,0.0317,0.03,0.0474,0.0008,1.055,0.0004,94.45
17,10.519,3.1282,0.0027,0.2901,0.0066,0.0,7.1231,5.1555,0.0163,0.0018,0.5801,0.0833,0.0028,0.03,0.0289,0.0498,0.0009,1.0328,0.0004,95.07
18,10.5956,3.1487,0.0027,0.2947,0.0066,0.0,7.1973,5.2236,0.0183,0.0025,0.5557,0.0858,0.0031,0.0327,0.0317,0.0457,0.0008,1.0475,0.0005,94.38
19,11.0849,3.2693,0.0028,0.2917,0.0068,0.0,7.5651,5.6182,0.024,0.0023,0.4924,0.0829,0.0029,0.0312,0.03,0.0455,0.0009,1.0899,0.0005,90.21
20,11.2752,3.3147,0.0029,0.3041,0.008,0.0,7.7047,5.4366,0.0206,0.0025,0.526,0.0861,0.003,0.0325,0.0337,0.0539,0.0012,1.3546,0.0005,88.69
21,10.4816,3.1211,0.0026,0.2959,0.0064,0.0,7.099,5.1525,0.0199,0.0027,0.5163,0.0873,0.0033,0.03,0.0317,0.0464,0.0009,1.0621,0.0005,95.41
22,13.2131,3.5872,0.0034,0.2944,0.0068,0.0,9.3665,6.859,0.0212,0.0024,0.6444,0.1859,0.0034,0.0766,0.0408,0.0526,0.0011,1.2988,0.0005,75.68
23,11.1911,3.67,0.004,0.3829,0.0075,0.0,7.2474,5.2545,0.0227,0.0025,0.4942,0.0846,0.0034,0.0318,0.0312,0.0538,0.001,1.1088,0.0005,89.36
24,11.5693,3.5309,0.0037,0.4904,0.0114,0.0,7.5736,5.5616,0.0221,0.0028,0.495,0.0868,0.0034,0.0331,0.0315,0.0482,0.0011,1.0464,0.0005,86.44
25,11.5659,3.897,0.0046,0.2972,0.0068,0.0,7.3063,5.249,0.0222,0.0028,0.4995,0.086,0.0037,0.0323,0.0331,0.0481,0.0009,1.1759,0.0005,86.46
26,13.0875,3.9471,0.0042,0.2983,0.009,0.0,8.7984,5.4047,0.0254,0.0027,0.8328,0.0919,0.0331,0.0394,0.0364,0.1118,0.0021,2.0023,0.0005,76.41
27,11.0732,3.3641,0.0047,0.2964,0.0081,0.0,7.4255,5.3819,0.0274,0.0026,0.5026,0.0913,0.004,0.035,0.0363,0.0567,0.0011,1.1135,0.0004,90.31
28,10.8906,3.4198,0.0046,0.3031,0.0075,0.0,7.2038,5.2733,0.0267,0.0029,0.4782,0.0878,0.0033,0.0333,0.0344,0.0521,0.0008,1.06,0.0005,91.82
29,10.8449,3.3233,0.0036,0.308,0.007,0.0,7.2562,5.2868,0.0206,0.0023,0.4905,0.0859,0.0037,0.0328,0.032,0.0565,0.0009,1.0931,0.0007,92.21
30,11.0227,3.3959,0.0037,0.2935,0.008,0.0,7.3376,5.2292,0.0249,0.0028,0.4945,0.1058,0.0034,0.0364,0.0417,0.0595,0.0011,1.1781,0.0008,90.72
31,16.7055,7.4392,0.0045,0.3048,0.0082,0.0,8.9882,6.84,0.0269,0.0031,0.507,0.0986,0.0041,0.0348,0.0348,0.0628,0.0009,1.2064,0.0009,59.86
32,16.0011,5.2934,0.0065,0.6172,0.0074,0.0,10.4387,7.4775,0.0253,0.0034,0.6984,0.1118,0.0055,0.0601,0.0491,0.0999,0.0015,1.7229,0.0006,62.5
33,15.2307,4.0388,0.005,0.3017,0.0226,0.0,8.4503,6.451,0.02,0.003,0.5074,0.0886,0.0037,0.0355,0.0347,0.0597,0.0012,1.0646,0.0005,65.66
34,12.6402,3.2501,0.0036,0.3237,0.0071,0.0,9.0985,6.9911,0.0256,0.0037,0.5035,0.0919,0.0034,0.0349,0.0366,0.0583,0.0013,1.181,0.0005,79.11
35,11.5008,3.9895,0.004,0.2981,0.0079,0.0,7.2075,5.2534,0.0138,0.0022,0.4851,0.0853,0.0028,0.0335,0.0328,0.061,0.0008,1.0818,0.0005,86.95
36,11.9973,3.5558,0.003,0.3147,0.0075,0.0,8.1712,6.0655,0.012,0.0026,0.535,0.0895,0.0038,0.0404,0.0905,0.0884,0.0011,1.0854,0.0005,83.35
37,11.0377,3.1195,0.0026,0.2883,0.0066,0.0,7.6616,5.6132,0.0069,0.0026,0.5695,0.0911,0.0034,0.0347,0.0335,0.0562,0.0012,1.1001,0.0009,90.6
