worldSeed,qualityScore,overallStatus,warningCountTotal,sourceFile
7,60,fail,0,seed-7.json
40,61,fail,0,seed-40.json
3,63,fail,0,seed-3.json
5,64,fail,0,seed-5.json
11,65,fail,0,seed-11.json
15,66,fail,0,seed-15.json
16,66,fail,0,seed-16.json
29,66,fail,0,seed-29.json
31,66,fail,0,seed-31.json
4,66,fail,0,seed-4.json
50,66,fail,0,seed-50.json
9,66,fail,0,seed-9.json
13,67,fail,0,seed-13.json
14,67,fail,0,seed-14.json
18,67,fail,0,seed-18.json
38,67,fail,0,seed-38.json
41,67,fail,0,seed-41.json
48,67,fail,0,seed-48.json
8,67,fail,0,seed-8.json
1,68,fail,0,seed-1.json
17,68,fail,0,seed-17.json
19,68,fail,0,seed-19.json
33,68,fail,0,seed-33.json
44,68,fail,0,seed-44.json
6,68,fail,0,seed-6.json
22,69,fail,0,seed-22.json
27,69,fail,0,seed-27.json
28,69,fail,0,seed-28.json
30,69,fail,0,seed-30.json
21,70,fail,0,seed-21.json
36,70,fail,0,seed-36.json
43,70,fail,0,seed-43.json
45,71,fail,0,seed-45.json
46,71,fail,0,seed-46.json
47,71,fail,0,seed-47.json
49,71,fail,0,seed-49.json
10,73,fail,0,seed-10.json
37,73,fail,0,seed-37.json
12,74,fail,0,seed-12.json
20,74,fail,0,seed-20.json
23,74,fail,0,seed-23.json
32,74,fail,0,seed-32.json
42,75,fail,0,seed-42.json
35,76,fail,0,seed-35.json
26,78,fail,0,seed-26.json
34,78,fail,0,seed-34.json
39,78,fail,0,seed-39.json
25,79,fail,0,seed-25.json
2,80,fail,0,seed-2.json
24,80,fail,0,seed-24.json
